City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
2,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
5,Rikitea,PF,74.37,few clouds,-23.1203,-134.9692,People ThankYou
9,Karambakkudi,IN,75.6,overcast clouds,10.4667,79.1333,Mathiyazhagan house
14,Nara,JP,72.68,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
15,Pierre,US,74.32,clear sky,44.3683,-100.351,Ramkota Hotel
23,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
24,Terrasini,IT,75.22,clear sky,38.146,13.0844,Florio Park Hotel
26,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
28,Atuona,PF,77.95,clear sky,-9.8,-139.0333,Villa Enata
29,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Victoria,HK,85.32,broken clouds,22.2855,114.1577,Mini Hotel Central
31,Fortuna,US,70.36,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
32,Margherita,IN,74.43,clear sky,27.2833,95.6833,Dehing Guest House
33,Hilo,US,78.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
37,Alindao,CF,71.29,overcast clouds,5.0267,21.2088,OCHA Alindao
38,Biak,ID,73.94,overcast clouds,-0.9131,122.8766,Penginapan Kim
40,Bengkulu,ID,75.34,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
41,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
44,Puerto Ayora,EC,70.86,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Ormara,PK,80.51,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
49,Kavieng,PG,81.55,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
50,Castro,BR,70.25,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
51,Ponta Do Sol,PT,74.12,overcast clouds,32.6667,-17.1,Hotel do Campo
52,Prestea,GH,76.48,light rain,5.4327,-2.1428,Garden Hill Hotel
55,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
59,Uige,AO,73.8,overcast clouds,-7.6087,15.0613,Hotel Catraio
60,Banswara,IN,78.58,broken clouds,23.55,74.45,Deepak Hotel
62,Pacific Grove,US,79.43,clear sky,36.6177,-121.9166,Lovers Point Inn
