City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Bredasdorp,ZA,-34.5322,20.0403,60.28,67,54,14.97,broken clouds
1,Bluff,NZ,-46.6,168.3333,47.8,63,42,26.82,scattered clouds
2,Port Elizabeth,ZA,-33.918,25.5701,65.1,67,0,24.16,clear sky
3,Altamira,BR,-3.2033,-52.2064,93.29,55,75,8.05,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,60.8,84,36,14.81,scattered clouds
5,Berlevag,NO,70.8578,29.0864,46.4,61,0,9.22,clear sky
6,Rikitea,PF,-23.1203,-134.9692,74.23,72,21,22.06,few clouds
7,Kodiak,US,57.79,-152.4072,42.31,81,90,33.55,moderate rain
8,Mataura,NZ,-46.1927,168.8643,47.48,79,54,8.16,light rain
9,Qaanaaq,GL,77.484,-69.3632,17.69,63,31,5.57,scattered clouds
10,Namibe,AO,-15.1961,12.1522,67.24,89,86,3.42,overcast clouds
11,Tasiilaq,GL,65.6145,-37.6368,39.36,58,94,3.2,overcast clouds
12,Omboue,GA,-1.5746,9.2618,77.76,82,93,7.78,overcast clouds
13,East London,ZA,-33.0153,27.9116,67.14,82,0,14.97,clear sky
14,Vaini,TO,-21.2,-175.2,71.76,94,20,8.05,few clouds
15,Churapcha,RU,62.0025,132.4325,38.79,82,52,2.91,broken clouds
16,Yellowknife,CA,62.456,-114.3525,46.92,87,75,4.61,broken clouds
17,Kenitra,MA,34.261,-6.5802,74.16,75,100,8.93,overcast clouds
18,Fort Abbas,PK,29.1925,72.8536,83.46,70,30,11.18,scattered clouds
19,Makakilo City,US,21.3469,-158.0858,77.68,79,90,5.75,overcast clouds
20,Georgetown,MY,5.4112,100.3354,80.89,83,20,0.0,few clouds
21,Horodyshche,UA,49.2849,31.4451,45.81,85,100,6.24,overcast clouds
22,Pierre,US,44.3683,-100.351,74.32,35,1,0.0,clear sky
23,Provideniya,RU,64.3833,-173.3,32.94,76,98,3.29,overcast clouds
24,Chuy,UY,-33.6971,-53.4616,56.77,91,96,7.58,overcast clouds
25,Port Hedland,AU,-20.3167,118.5667,62.65,67,83,3.44,broken clouds
26,Wukari,NG,7.85,9.7833,78.01,82,89,4.5,overcast clouds
27,Busselton,AU,-33.65,115.3333,45.09,79,0,10.76,clear sky
28,Maine-Soroa,NE,13.2114,12.0241,86.38,46,100,5.57,overcast clouds
29,Upernavik,GL,72.7868,-56.1549,27.64,85,77,7.92,broken clouds
30,Talnakh,RU,69.4865,88.3972,34.59,74,7,4.79,clear sky
31,Narsaq,GL,60.9167,-46.05,43.02,41,22,9.82,few clouds
32,Atuona,PF,-9.8,-139.0333,77.92,73,6,16.82,clear sky
33,Caravelas,BR,-17.7125,-39.2481,74.8,60,99,12.44,overcast clouds
34,Dikson,RU,73.5069,80.5464,34.57,66,59,5.86,broken clouds
35,Hirara,JP,24.8,125.2833,83.75,74,3,9.37,clear sky
36,Kamiiso,JP,41.8167,140.65,62.4,94,55,5.53,broken clouds
37,New Norfolk,AU,-42.7826,147.0587,46.71,75,73,1.99,light rain
38,Aklavik,CA,68.2191,-135.0107,32.83,90,95,5.08,overcast clouds
39,Fuxin,CN,42.0156,121.6589,56.01,86,17,2.53,few clouds
40,Praia,CV,14.9215,-23.5087,82.94,65,20,9.22,few clouds
41,Goderich,CA,43.7501,-81.7165,60.91,87,100,10.36,overcast clouds
42,Erfurt,DE,50.9833,11.0333,65.93,63,0,11.5,clear sky
43,Kuusankoski,FI,60.907,26.6244,45.12,81,75,13.8,broken clouds
44,Eureka,US,40.8021,-124.1637,73.2,72,96,1.01,overcast clouds
45,Kapaa,US,22.0752,-159.319,79.12,77,75,3.0,moderate rain
46,Mar Del Plata,AR,-38.0023,-57.5575,57.22,88,90,3.44,overcast clouds
47,Albany,US,42.6001,-73.9662,80.85,72,96,1.01,overcast clouds
48,Avarua,CK,-21.2078,-159.775,71.65,56,40,6.91,scattered clouds
49,Hobart,AU,-42.8794,147.3294,47.05,78,64,8.05,broken clouds
50,Winchester,GB,51.0651,-1.3187,65.77,79,40,1.01,scattered clouds
51,Penzance,GB,50.1186,-5.5371,61.81,90,50,10.07,scattered clouds
52,Mahebourg,MU,-20.4081,57.7,71.89,83,75,12.66,broken clouds
53,Teya,RU,60.3778,92.6267,33.08,94,100,6.6,overcast clouds
54,Bengkulu,ID,-3.8004,102.2655,75.61,91,48,3.62,scattered clouds
55,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,5.75,scattered clouds
56,Hilo,US,19.7297,-155.09,79.61,79,40,4.61,light rain
57,Jamestown,US,42.097,-79.2353,62.51,53,90,13.0,overcast clouds
58,Labelle,US,26.7617,-81.4384,91.98,51,51,4.03,broken clouds
59,Roald,NO,62.5833,6.1333,51.91,71,75,12.66,broken clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,90,0.0,light snow
61,Castro,BR,-24.7911,-50.0119,69.69,39,60,5.73,broken clouds
62,Egvekinot,RU,66.3167,-179.1667,24.01,95,100,2.91,light snow
63,Iringa,TZ,-7.7667,35.7,62.65,52,27,9.84,scattered clouds
64,Deputatskiy,RU,69.3,139.9,33.51,86,100,4.94,overcast clouds
65,Ilinskiy,RU,55.619,38.1182,50.58,100,100,4.47,overcast clouds
66,Esperance,AU,-33.8667,121.9,51.64,63,82,13.87,broken clouds
67,Port Alfred,ZA,-33.5906,26.891,66.15,67,100,17.34,overcast clouds
68,Usinsk,RU,65.9939,57.5281,38.53,92,100,7.74,overcast clouds
69,Paamiut,GL,61.994,-49.6678,34.29,78,38,14.34,scattered clouds
70,La Romana,DO,18.4273,-68.9728,89.96,70,40,9.22,scattered clouds
71,Punta Arenas,CL,-53.15,-70.9167,50.11,40,40,23.02,scattered clouds
72,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,53,75,10.36,broken clouds
